"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"1",1940,2,26768390,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"2",1940,2,26768401,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"3",1940,2,26768401,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",4,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"4",1940,2,26768406,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"5",1940,2,26768412,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"6",1940,2,26768420,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"7",1940,2,26768420,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",4,1,"Male",20,"White","White","Ohio","Ohio","Yes, in school",13,"1st year of college"
"8",1940,2,26768421,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"9",1940,2,26768424,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"10",1940,2,26768425,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"11",1940,2,26768428,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",1,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"12",1940,2,26768434,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",2,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"13",1940,2,26768444,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"14",1940,2,26768446,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"15",1940,2,26768446,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",4,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"16",1940,2,26768451,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"17",1940,2,26768473,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Minnesota","Minnesota","Yes, in school",13,"1st year of college"
"18",1940,2,26768487,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"19",1940,2,26768497,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",4,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"20",1940,2,26768499,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",1,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"21",1940,2,26768500,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"22",1940,2,26768503,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"23",1940,2,26768503,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",4,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"24",1940,2,26768507,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"25",1940,2,26768515,1,"East North Central Div.","Ohio",690,"Rural","Households under 1970 definition",5,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",7,"7th grade"
