"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"1",1940,2,26950180,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"2",1940,2,26950198,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"3",1940,2,26950198,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",5,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"4",1940,2,26950203,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",4,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"5",1940,2,26950209,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",5,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"6",1940,2,26950212,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"7",1940,2,26950222,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",7,1,"Male",21,"White","White","West Virginia","West Virginia","No, not in school",8,"8th grade"
"8",1940,2,26950226,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Kansas","Kansas","No, not in school",5,"5th grade"
"9",1940,2,26950235,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",4,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"10",1940,2,26950235,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",6,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"11",1940,2,26950236,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",1,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"12",1940,2,26950242,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",2,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"13",1940,2,26950265,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",2,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"14",1940,2,26950268,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",2,1,"Male",19,"White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"15",1940,2,26950273,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"16",1940,2,26950282,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",4,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",3,"3rd grade"
"17",1940,2,26950283,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",4,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"18",1940,2,26950283,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",5,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"19",1940,2,26950288,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"20",1940,2,26950297,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",4,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"21",1940,2,26950299,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",1,1,"Male",19,"White","White","Kentucky","Kentucky","No, not in school",8,"8th grade"
"22",1940,2,26950304,1,"East North Central Div.","Ohio",970,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Kentucky","Kentucky","No, not in school",8,"8th grade"
