"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"1",1940,2,27101139,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"2",1940,2,27101140,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",4,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"3",1940,2,27101158,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",4,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"4",1940,2,27101174,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"5",1940,2,27101177,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"6",1940,2,27101180,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"7",1940,2,27101182,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"8",1940,2,27101187,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"9",1940,2,27101190,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"10",1940,2,27101204,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"11",1940,2,27101209,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"12",1940,2,27101210,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"13",1940,2,27101218,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"14",1940,2,27101230,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"15",1940,2,27101234,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"16",1940,2,27101234,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"17",1940,2,27101234,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",5,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",1,"1st grade"
"18",1940,2,27101238,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"19",1940,2,27101250,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"20",1940,2,27101250,1,"East North Central Div.","Ohio",1250,"Rural","Households under 1970 definition",4,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
