"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"1",1940,2,27179603,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"2",1940,2,27179605,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","Yes, in school",14,"2nd year of college"
"3",1940,2,27179612,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"4",1940,2,27179615,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",1,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"5",1940,2,27179627,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"6",1940,2,27179644,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"7",1940,2,27179645,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",2,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"8",1940,2,27179652,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"9",1940,2,27179666,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"10",1940,2,27179684,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",2,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"11",1940,2,27179684,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"12",1940,2,27179685,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"13",1940,2,27179690,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"14",1940,2,27179707,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",4,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"15",1940,2,27179708,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"16",1940,2,27179714,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"17",1940,2,27179718,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",2,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"18",1940,2,27179729,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Illinois","Illinois","Yes, in school",14,"2nd year of college"
"19",1940,2,27179732,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",2,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"20",1940,2,27179738,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",4,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"21",1940,2,27179748,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Iowa","Iowa","Yes, in school",15,"3rd year of college"
"22",1940,2,27179758,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"23",1940,2,27179758,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",5,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"24",1940,2,27179767,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",4,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"25",1940,2,27179771,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"26",1940,2,27179799,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"27",1940,2,27179804,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"28",1940,2,27179808,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",5,"5th grade"
"29",1940,2,27179809,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",6,1,"Male",20,"White","White","Ohio","Ohio","Yes, in school",12,"12th grade"
"30",1940,2,27179816,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",4,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"31",1940,2,27179828,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",6,1,"Male",19,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"32",1940,2,27179835,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"33",1940,2,27179841,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",5,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"34",1940,2,27179849,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",10,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"35",1940,2,27179850,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",5,1,"Male",18,"White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"36",1940,2,27179860,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",4,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"37",1940,2,27179867,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"38",1940,2,27179873,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",6,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",7,"7th grade"
"39",1940,2,27179874,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",4,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"40",1940,2,27179888,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",6,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"41",1940,2,27179890,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"42",1940,2,27179901,1,"East North Central Div.","Ohio",1410,"Rural","Households under 1970 definition",5,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",8,"8th grade"
