"","polyname","RUCC","County","VAM","year","state","state.low","county.low","fips","colorID","color"
"1","alabama,autauga",9,"Autauga",62,1929,"Alabama","alabama","autauga",1001,1,"#FF0000"
"2","alabama,autauga",6,"Autauga",187,1947,"Alabama","alabama","autauga",1001,3,"#E50840"
"3","alabama,autauga",6,"Autauga",184,1958,"Alabama","alabama","autauga",1001,3,"#E50840"
"4","alabama,autauga",6,"Autauga",229,1954,"Alabama","alabama","autauga",1001,4,"#D90C60"
"5","alabama,autauga",6,"Autauga",503,1963,"Alabama","alabama","autauga",1001,8,"#A61DE0"
"6","alabama,baldwin",6,"Baldwin",198,1958,"Alabama","alabama","baldwin",1003,3,"#E50840"
"7","alabama,baldwin",6,"Baldwin",250,1963,"Alabama","alabama","baldwin",1003,4,"#D90C60"
"8","alabama,baldwin",9,"Baldwin",60,1929,"Alabama","alabama","baldwin",1003,1,"#FF0000"
"9","alabama,baldwin",6,"Baldwin",150,1954,"Alabama","alabama","baldwin",1003,3,"#E50840"
"10","alabama,baldwin",6,"Baldwin",47,1947,"Alabama","alabama","baldwin",1003,1,"#FF0000"
"11","alabama,barbour",6,"Barbour",322,1963,"Alabama","alabama","barbour",1005,5,"#CC1180"
"12","alabama,barbour",7,"Barbour",164,1947,"Alabama","alabama","barbour",1005,3,"#E50840"
"13","alabama,barbour",6,"Barbour",148,1958,"Alabama","alabama","barbour",1005,3,"#E50840"
"14","alabama,barbour",7,"Barbour",43,1929,"Alabama","alabama","barbour",1005,1,"#FF0000"
"15","alabama,barbour",7,"Barbour",201,1954,"Alabama","alabama","barbour",1005,3,"#E50840"
"16","alabama,bibb",8,"Bibb",130,1954,"Alabama","alabama","bibb",1007,2,"#F20420"
"17","alabama,bibb",8,"Bibb",110,1947,"Alabama","alabama","bibb",1007,2,"#F20420"
"18","alabama,bibb",8,"Bibb",276,1958,"Alabama","alabama","bibb",1007,5,"#CC1180"
"19","alabama,bibb",8,"Bibb",308,1963,"Alabama","alabama","bibb",1007,5,"#CC1180"
"20","alabama,bibb",8,"Bibb",18,1929,"Alabama","alabama","bibb",1007,1,"#FF0000"
"21","alabama,blount",6,"Blount",0,1963,"Alabama","alabama","blount",1009,1,"#FF0000"
