"","year","datanum","serial","hhwt","region","stateicp","county","urban","gq","pernum","perwt","sex","age","race","raced","bpl","bpld","school","higrade","higraded"
"1",1940,2,26618655,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"2",1940,2,26618659,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"3",1940,2,26618667,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",1,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",9,"9th grade"
"4",1940,2,26618675,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"5",1940,2,26618692,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"6",1940,2,26618701,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",5,"5th grade"
"7",1940,2,26618708,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",8,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"8",1940,2,26618708,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",9,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"9",1940,2,26618727,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"10",1940,2,26618741,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"11",1940,2,26618742,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"12",1940,2,26618746,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",5,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"13",1940,2,26618747,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"14",1940,2,26618755,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",4,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"15",1940,2,26618762,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"16",1940,2,26618771,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",1,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"17",1940,2,26618777,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"18",1940,2,26618782,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",6,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"19",1940,2,26618789,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",1,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"20",1940,2,26618791,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"21",1940,2,26618793,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"22",1940,2,26618804,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"23",1940,2,26618819,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"24",1940,2,26618819,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"25",1940,2,26618826,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",4,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"26",1940,2,26618848,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"27",1940,2,26618851,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",4,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"28",1940,2,26618852,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"29",1940,2,26618868,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",5,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"30",1940,2,26618871,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",6,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"31",1940,2,26618872,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",1,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"32",1940,2,26618876,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"33",1940,2,26618879,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"34",1940,2,26618885,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",6,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"35",1940,2,26618889,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",6,"6th grade"
"36",1940,2,26618899,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"37",1940,2,26618903,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"38",1940,2,26618905,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",4,"4th grade"
"39",1940,2,26618912,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"40",1940,2,26618912,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",5,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"41",1940,2,26618930,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"42",1940,2,26618933,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"43",1940,2,26618934,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",4,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"44",1940,2,26618935,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"45",1940,2,26618938,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"46",1940,2,26618942,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","Yes, in school",11,"11th grade"
"47",1940,2,26618945,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",4,1,"Male",20,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"48",1940,2,26618945,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",5,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",12,"12th grade"
"49",1940,2,26618945,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",6,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",10,"10th grade"
"50",1940,2,26618953,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",5,1,"Male",17,"White","White","Ohio","Ohio","Yes, in school",9,"9th grade"
"51",1940,2,26618968,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",21,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"52",1940,2,26618974,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",4,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"53",1940,2,26618975,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"54",1940,2,26618988,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",17,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
"55",1940,2,26618991,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",18,"White","White","Ohio","Ohio","No, not in school",11,"11th grade"
"56",1940,2,26619009,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",3,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",8,"8th grade"
"57",1940,2,26619019,1,"East North Central Div.","Ohio",470,"Rural","Households under 1970 definition",2,1,"Male",19,"White","White","Ohio","Ohio","No, not in school",10,"10th grade"
