"","X","polyname","RUCC","County","VAM","year","state","state.low","county.low","fips","colorID","color"
"10019",10019,"ohio,adams",9,"Adams County",15,1929,"Ohio","ohio","adams county",39001,1,"#FF0000"
"10020",10020,"ohio,adams",9,"Adams County",90,1958,"Ohio","ohio","adams county",39001,2,"#F20420"
"10021",10021,"ohio,adams",9,"Adams County",68,1954,"Ohio","ohio","adams county",39001,1,"#FF0000"
"10022",10022,"ohio,adams",9,"Adams County",118,1963,"Ohio","ohio","adams county",39001,2,"#F20420"
"10023",10023,"ohio,adams",9,"Adams County",45,1947,"Ohio","ohio","adams county",39001,1,"#FF0000"
"10024",10024,"ohio,allen",3,"Allen County",NA,1954,"Ohio","ohio","allen county",39003,NA,NA
"10025",10025,"ohio,allen",5,"Allen County",267,1929,"Ohio","ohio","allen county",39003,4,"#D90C60"
"10026",10026,"ohio,allen",3,"Allen County",NA,1958,"Ohio","ohio","allen county",39003,NA,NA
"10027",10027,"ohio,allen",3,"Allen County",NA,1963,"Ohio","ohio","allen county",39003,NA,NA
"10028",10028,"ohio,allen",3,"Allen County",833,1947,"Ohio","ohio","allen county",39003,13,"#3F0CF9"
"10029",10029,"ohio,ashland",6,"Ashland County",NA,1958,"Ohio","ohio","ashland county",39005,NA,NA
"10030",10030,"ohio,ashland",6,"Ashland County",305,1929,"Ohio","ohio","ashland county",39005,5,"#CC1180"
"10031",10031,"ohio,ashland",6,"Ashland County",951,1954,"Ohio","ohio","ashland county",39005,14,"#2A08FB"
"10032",10032,"ohio,ashland",6,"Ashland County",NA,1963,"Ohio","ohio","ashland county",39005,NA,NA
"10033",10033,"ohio,ashland",6,"Ashland County",850,1947,"Ohio","ohio","ashland county",39005,13,"#3F0CF9"
"10034",10034,"ohio,ashtabula",4,"Ashtabula County",781,1958,"Ohio","ohio","ashtabula county",39007,12,"#5511F7"
"10035",10035,"ohio,ashtabula",4,"Ashtabula County",197,1929,"Ohio","ohio","ashtabula county",39007,3,"#E50840"
"10036",10036,"ohio,ashtabula",4,"Ashtabula County",777,1954,"Ohio","ohio","ashtabula county",39007,12,"#5511F7"
"10037",10037,"ohio,ashtabula",4,"Ashtabula County",NA,1963,"Ohio","ohio","ashtabula county",39007,NA,NA
"10038",10038,"ohio,ashtabula",4,"Ashtabula County",493,1947,"Ohio","ohio","ashtabula county",39007,8,"#A61DE0"
"10039",10039,"ohio,athens",7,"Athens County",373,1958,"Ohio","ohio","athens county",39009,6,"#BF15A0"
"10040",10040,"ohio,athens",7,"Athens County",427,1963,"Ohio","ohio","athens county",39009,7,"#B319C0"
"10041",10041,"ohio,athens",7,"Athens County",47,1929,"Ohio","ohio","athens county",39009,1,"#FF0000"
"10042",10042,"ohio,athens",7,"Athens County",264,1954,"Ohio","ohio","athens county",39009,4,"#D90C60"
"10043",10043,"ohio,athens",7,"Athens County",98,1947,"Ohio","ohio","athens county",39009,2,"#F20420"
"10044",10044,"ohio,auglaize",6,"Auglaize County",999,1954,"Ohio","ohio","auglaize county",39011,15,"#1504FD"
